PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=408 ttl=63 time=8485 ms
64 bytes from 10.0.2.22: icmp_seq=409 ttl=63 time=8382 ms
64 bytes from 10.0.2.22: icmp_seq=410 ttl=63 time=8279 ms
64 bytes from 10.0.2.22: icmp_seq=411 ttl=63 time=8176 ms
64 bytes from 10.0.2.22: icmp_seq=412 ttl=63 time=8073 ms
64 bytes from 10.0.2.22: icmp_seq=413 ttl=63 time=7970 ms
64 bytes from 10.0.2.22: icmp_seq=414 ttl=63 time=7868 ms
64 bytes from 10.0.2.22: icmp_seq=415 ttl=63 time=7765 ms
64 bytes from 10.0.2.22: icmp_seq=416 ttl=63 time=7662 ms
64 bytes from 10.0.2.22: icmp_seq=417 ttl=63 time=7559 ms
64 bytes from 10.0.2.22: icmp_seq=418 ttl=63 time=7456 ms
64 bytes from 10.0.2.22: icmp_seq=419 ttl=63 time=7353 ms
64 bytes from 10.0.2.22: icmp_seq=420 ttl=63 time=7250 ms
64 bytes from 10.0.2.22: icmp_seq=421 ttl=63 time=7147 ms
64 bytes from 10.0.2.22: icmp_seq=422 ttl=63 time=7044 ms
64 bytes from 10.0.2.22: icmp_seq=423 ttl=63 time=6941 ms
64 bytes from 10.0.2.22: icmp_seq=424 ttl=63 time=6838 ms
64 bytes from 10.0.2.22: icmp_seq=425 ttl=63 time=6735 ms
64 bytes from 10.0.2.22: icmp_seq=426 ttl=63 time=6633 ms
64 bytes from 10.0.2.22: icmp_seq=427 ttl=63 time=6529 ms
64 bytes from 10.0.2.22: icmp_seq=428 ttl=63 time=6427 ms
64 bytes from 10.0.2.22: icmp_seq=429 ttl=63 time=6324 ms
64 bytes from 10.0.2.22: icmp_seq=430 ttl=63 time=6220 ms
64 bytes from 10.0.2.22: icmp_seq=431 ttl=63 time=6118 ms
64 bytes from 10.0.2.22: icmp_seq=432 ttl=63 time=6015 ms
64 bytes from 10.0.2.22: icmp_seq=433 ttl=63 time=5912 ms
64 bytes from 10.0.2.22: icmp_seq=434 ttl=63 time=5810 ms
64 bytes from 10.0.2.22: icmp_seq=435 ttl=63 time=5707 ms
64 bytes from 10.0.2.22: icmp_seq=436 ttl=63 time=5604 ms
64 bytes from 10.0.2.22: icmp_seq=437 ttl=63 time=5501 ms
64 bytes from 10.0.2.22: icmp_seq=438 ttl=63 time=5401 ms
64 bytes from 10.0.2.22: icmp_seq=439 ttl=63 time=5299 ms
64 bytes from 10.0.2.22: icmp_seq=440 ttl=63 time=5196 ms
64 bytes from 10.0.2.22: icmp_seq=441 ttl=63 time=5093 ms
64 bytes from 10.0.2.22: icmp_seq=442 ttl=63 time=4990 ms
64 bytes from 10.0.2.22: icmp_seq=443 ttl=63 time=4888 ms
64 bytes from 10.0.2.22: icmp_seq=444 ttl=63 time=4784 ms
64 bytes from 10.0.2.22: icmp_seq=445 ttl=63 time=4682 ms
64 bytes from 10.0.2.22: icmp_seq=446 ttl=63 time=4580 ms
64 bytes from 10.0.2.22: icmp_seq=447 ttl=63 time=4476 ms
64 bytes from 10.0.2.22: icmp_seq=448 ttl=63 time=4373 ms
64 bytes from 10.0.2.22: icmp_seq=449 ttl=63 time=4271 ms
64 bytes from 10.0.2.22: icmp_seq=450 ttl=63 time=4167 ms
64 bytes from 10.0.2.22: icmp_seq=451 ttl=63 time=4065 ms
64 bytes from 10.0.2.22: icmp_seq=452 ttl=63 time=3961 ms
64 bytes from 10.0.2.22: icmp_seq=453 ttl=63 time=3859 ms
64 bytes from 10.0.2.22: icmp_seq=454 ttl=63 time=3755 ms
64 bytes from 10.0.2.22: icmp_seq=455 ttl=63 time=3653 ms
64 bytes from 10.0.2.22: icmp_seq=456 ttl=63 time=3550 ms
64 bytes from 10.0.2.22: icmp_seq=457 ttl=63 time=3447 ms
64 bytes from 10.0.2.22: icmp_seq=458 ttl=63 time=3343 ms
64 bytes from 10.0.2.22: icmp_seq=459 ttl=63 time=3241 ms
64 bytes from 10.0.2.22: icmp_seq=460 ttl=63 time=3138 ms
64 bytes from 10.0.2.22: icmp_seq=461 ttl=63 time=3035 ms
64 bytes from 10.0.2.22: icmp_seq=462 ttl=63 time=2931 ms
64 bytes from 10.0.2.22: icmp_seq=463 ttl=63 time=2829 ms
64 bytes from 10.0.2.22: icmp_seq=464 ttl=63 time=2726 ms
64 bytes from 10.0.2.22: icmp_seq=465 ttl=63 time=2624 ms
64 bytes from 10.0.2.22: icmp_seq=466 ttl=63 time=2521 ms
64 bytes from 10.0.2.22: icmp_seq=467 ttl=63 time=2417 ms
64 bytes from 10.0.2.22: icmp_seq=468 ttl=63 time=2314 ms
64 bytes from 10.0.2.22: icmp_seq=469 ttl=63 time=2211 ms
